instance,algorithm,best_cost,gap_pct
c101,ACO,49018.033353229,5813.3391262611285
c101,GA,48079.88577653071,5700.164761807936
c101,LLM-ALNS,43890.39332233065,5194.7611796186275
c102,ACO,44880.144833759674,5314.160835978439
c102,GA,38126.534573349454,4499.432356183735
c102,LLM-ALNS,34357.64507265504,4044.7686289303247
c103,ACO,30473.105254163944,3580.0600504992326
c103,GA,31563.551912772444,3711.7469643229283
c103,LLM-ALNS,29801.931045800924,3499.006236963617
c104,ACO,22481.72752022442,2625.78475717457
c104,GA,23363.115921012,2732.6482117670166
c104,LLM-ALNS,22369.21100363299,2612.14275365952
c105,ACO,47958.15888148984,5685.480116955368
c105,GA,45969.44458129198,5445.569592647475
c105,LLM-ALNS,42283.95576254241,5000.9669894735935
c201,ACO,101328.13301432463,17028.96967582741
c201,GA,98724.34064074195,16588.81273932348
c201,LLM-ALNS,96736.70926674255,16252.814467973249
c202,ACO,74228.9712010817,12448.003786781004
c202,GA,74315.54727897796,12462.639001788148
c202,LLM-ALNS,73310.92763764462,12292.813516404867
c203,ACO,51781.131305229916,8659.093205884927
c203,GA,49970.22338084337,8352.76711958377
c203,LLM-ALNS,48766.810707630786,8149.202548781365
c204,ACO,32508.35739764297,5404.293497738397
c204,GA,32699.88770958575,5436.72328303179
c204,LLM-ALNS,31793.977618288518,5283.335187654677
c205,ACO,94115.54522411322,15882.126277698888
c205,GA,95760.4148561133,16161.447978554765
c205,LLM-ALNS,92773.51941319063,15654.231662340482
r101,ACO,39019.60371259152,2263.6784415187494
r101,GA,31867.30323958172,1830.415752337153
r101,LLM-ALNS,25528.964220293212,1446.4601538825548
r102,ACO,31148.640539111355,1995.9707519656124
r102,GA,25615.032438840917,1623.6180415337199
r102,LLM-ALNS,18031.94953934937,1113.3575713501853
r103,ACO,20152.26270450256,1458.9642139527148
r103,GA,19272.152711551636,1390.8795525193311
r103,LLM-ALNS,13453.691664554575,940.7676873876994
r104,ACO,12588.713227880547,1149.7357544232211
r104,GA,15246.67022082825,1413.6025871706079
r104,LLM-ALNS,10182.192983002074,910.8301300495453
r105,ACO,24423.682172104283,1673.5462070643803
r105,GA,22534.172007567373,1536.3378384854786
r105,LLM-ALNS,14339.985408327382,941.310092028043
r201,ACO,32925.787257481046,2529.0782482398213
r201,GA,25630.46897777939,1946.5572456845337
r201,LLM-ALNS,21455.175192893726,1613.165852974259
r202,ACO,27114.48885729297,2175.278078148273
r202,GA,23622.382224281657,1882.24236169184
r202,LLM-ALNS,18067.1753288582,1416.084193073609
r203,ACO,19418.628492226362,1966.9109624509165
r203,GA,19419.83140074148,1967.038999546725
r203,LLM-ALNS,14465.296360165672,1439.6802937909176
r204,ACO,12737.297513788824,1442.9423289307133
r204,GA,14096.041802858299,1607.5348632205519
r204,LLM-ALNS,10009.243199584838,1112.4773717880653
r205,ACO,22600.708358684573,2172.729941643411
r205,GA,22581.416469951877,2170.789946999978
r205,LLM-ALNS,15945.313798085677,1503.4626668629946
rc101,ACO,26977.604456450812,1489.7701438728784
rc101,GA,25586.122234420032,1407.7711325861121
rc101,LLM-ALNS,16456.753511064726,869.7842311832833
rc102,ACO,22225.342317280727,1329.5122892606996
rc102,GA,23989.22437824999,1442.963458964463
rc102,LLM-ALNS,13922.512912576756,795.482419204165
rc103,ACO,16207.883886989393,1184.6373367829458
rc103,GA,17457.93719872261,1283.716597741296
rc103,LLM-ALNS,10856.456220448901,760.4830280857038
rc104,ACO,10633.809472106554,836.5034586348111
rc104,GA,15952.310898072239,1304.8958060091097
rc104,LLM-ALNS,8663.058978088764,662.9424541241382
rc105,ACO,22004.11052761794,1250.4093754675189
rc105,GA,21135.74471540258,1197.1170902520241
rc105,LLM-ALNS,14533.893575993456,791.9563516296062
rc201,ACO,33760.52673575668,2299.5711782845524
rc201,GA,28991.10012610436,1960.578285222139
rc201,LLM-ALNS,22567.88519252974,1504.040342340806
rc202,ACO,26028.53103493477,1805.944497853386
rc202,GA,24467.420633316655,1691.6318700484496
rc202,LLM-ALNS,19381.70944824966,1319.2296304506763
rc203,ACO,20807.315544519202,1882.3665273641134
rc203,GA,20251.493265557714,1829.411907695901
rc203,LLM-ALNS,14383.188310623551,1270.323384712901
rc204,ACO,13413.446046869485,1579.9145914472217
rc204,GA,15986.51348058421,1902.1683591644178
rc204,LLM-ALNS,9883.429172423104,1137.811433562496
rc205,ACO,27252.942274391153,2000.1766481247755
rc205,GA,26237.32096749926,1921.9104510075335
rc205,LLM-ALNS,20818.231312955126,1504.30249396641
