instance,ACO,GA,LLM-ALNS
c101,49018.033353229,48079.88577653071,43890.39332233065
c102,44880.144833759674,38126.534573349454,34357.64507265504
c103,30473.105254163944,31563.551912772444,29801.931045800924
c104,22481.72752022442,23363.115921012,22369.21100363299
c105,47958.15888148984,45969.44458129198,42283.95576254241
c201,101328.13301432463,98724.34064074195,96736.70926674255
c202,74228.9712010817,74315.54727897796,73310.92763764462
c203,51781.131305229916,49970.22338084337,48766.810707630786
c204,32508.35739764297,32699.88770958575,31793.977618288518
c205,94115.54522411322,95760.4148561133,92773.51941319063
r101,39019.60371259152,31867.30323958172,25528.964220293212
r102,31148.640539111355,25615.032438840917,18031.94953934937
r103,20152.26270450256,19272.152711551636,13453.691664554575
r104,12588.713227880547,15246.67022082825,10182.192983002074
r105,24423.682172104283,22534.172007567373,14339.985408327382
r201,32925.787257481046,25630.46897777939,21455.175192893726
r202,27114.48885729297,23622.382224281657,18067.1753288582
r203,19418.628492226362,19419.83140074148,14465.296360165672
r204,12737.297513788824,14096.041802858299,10009.243199584838
r205,22600.708358684573,22581.416469951877,15945.313798085677
rc101,26977.604456450812,25586.122234420032,16456.753511064726
rc102,22225.342317280727,23989.22437824999,13922.512912576756
rc103,16207.883886989393,17457.93719872261,10856.456220448901
rc104,10633.809472106554,15952.310898072239,8663.058978088764
rc105,22004.11052761794,21135.74471540258,14533.893575993456
rc201,33760.52673575668,28991.10012610436,22567.88519252974
rc202,26028.53103493477,24467.420633316655,19381.70944824966
rc203,20807.315544519202,20251.493265557714,14383.188310623551
rc204,13413.446046869485,15986.51348058421,9883.429172423104
rc205,27252.942274391153,26237.32096749926,20818.231312955126
