Dataset,Customers,Avg Cost,Std Cost,CV (%),Avg Vehicles,Avg Time (s),Avg Cost/Customer,Avg Last Improve Iter,Runs
c2,15,15004.49,0.00,0.00,11.00,0.88,1000.30,0.00,1
c2,25,23829.56,0.00,0.00,18.00,1.62,953.18,0.00,1
c2,50,48921.71,0.00,0.00,37.00,10.16,978.43,0.00,1
c2,75,69227.55,0.00,0.00,51.00,77.13,923.03,0.00,1
c2,100,96750.24,0.00,0.00,72.00,316.13,967.50,0.00,1
r1,15,5069.34,0.00,0.00,2.00,1.95,337.96,0.00,1
r1,25,8177.36,0.00,0.00,2.00,5.64,327.09,0.00,1
r1,50,13480.84,0.00,0.00,5.00,31.51,269.62,0.00,1
r1,75,19238.29,0.00,0.00,10.00,89.15,256.51,0.00,1
r1,100,23699.15,0.00,0.00,9.00,304.44,236.99,0.00,1
r2,15,4380.92,0.00,0.00,2.00,2.41,292.06,0.00,1
r2,25,5818.74,0.00,0.00,3.00,4.00,232.75,0.00,1
r2,50,10302.90,0.00,0.00,6.00,23.86,206.06,0.00,1
r2,75,14101.02,0.00,0.00,8.00,99.38,188.01,0.00,1
r2,100,19425.63,0.00,0.00,11.00,384.87,194.26,0.00,1
rc1,15,2132.59,0.00,0.00,2.00,1.49,142.17,0.00,1
rc1,25,3467.44,0.00,0.00,3.00,2.98,138.70,0.00,1
rc1,50,8075.28,0.00,0.00,9.00,9.43,161.51,0.00,1
rc1,75,13369.27,0.00,0.00,9.00,72.83,178.26,0.00,1
rc1,100,18211.52,0.00,0.00,13.00,207.60,182.12,0.00,1
rc2,15,3678.41,0.00,0.00,2.00,2.31,245.23,0.00,1
rc2,25,7294.76,0.00,0.00,3.00,3.67,291.79,0.00,1
rc2,50,11501.71,0.00,0.00,6.00,23.42,230.03,0.00,1
rc2,75,16418.75,0.00,0.00,9.00,92.13,218.92,0.00,1
rc2,100,20653.21,0.00,0.00,11.00,343.88,206.53,0.00,1
